file_transfer,p2p,streaming,voip,vpn_voip,vpn_file_transfer,vpn_streaming,vpn_p2p
0.990816295,0.992070496,0.983168364,0.980941772,0.981670082,0.980620146,0.973306,0.981210887
0.990816295,0.992070496,0.985148549,0.977578521,0.981670082,0.980620146,0.97125262,0.981210887
0.991836667,0.99118948,0.984158456,0.975336373,0.982688427,0.980620146,0.973306,0.979123175
0.991836667,0.99118948,0.983168364,0.976457477,0.984725118,0.980620146,0.973306,0.979123175
0.992857099,0.99118948,0.984158456,0.977578521,0.983706772,0.980620146,0.973306,0.979123175
0.992857099,0.992070496,0.984158456,0.977578521,0.982688427,0.979651153,0.973306,0.981210887
0.991836667,0.992070496,0.984158456,0.975336373,0.983706772,0.979651153,0.97227931,0.982254744
0.990816295,0.99118948,0.984158456,0.975336373,0.983706772,0.979651153,0.97125262,0.98329854
0.988775492,0.99118948,0.981188178,0.976457477,0.983706772,0.979651153,0.973306,0.980167031
0.991836667,0.99118948,0.982178271,0.977578521,0.983706772,0.979651153,0.973306,0.980167031
0.991836667,0.992070496,0.984158456,0.976457477,0.983706772,0.979651153,0.97125262,0.982254744
0.991836667,0.992070496,0.983168364,0.975336373,0.984725118,0.979651153,0.97227931,0.98329854
0.991836667,0.992070496,0.983168364,0.976457477,0.983706772,0.979651153,0.97433269,0.982254744
0.991836667,0.992070496,0.984158456,0.979820669,0.983706772,0.979651153,0.97433269,0.981210887
0.990816295,0.99118948,0.984158456,0.980941772,0.984725118,0.979651153,0.97433269,0.980167031
0.990816295,0.99118948,0.985148549,0.979820669,0.984725118,0.979651153,0.97227931,0.981210887
0.990816295,0.992070496,0.983168364,0.976457477,0.983706772,0.979651153,0.973306,0.982254744
0.990816295,0.992070496,0.982178271,0.976457477,0.983706772,0.979651153,0.973306,0.982254744
0.991836667,0.99118948,0.982178271,0.979820669,0.983706772,0.979651153,0.973306,0.98329854
0.991836667,0.99118948,0.983168364,0.980941772,0.984725118,0.979651153,0.97227931,0.98329854
0.991836667,0.99118948,0.983168364,0.977578521,0.983706772,0.980620146,0.97227931,0.98329854
0.991836667,0.99118948,0.982178271,0.976457477,0.983706772,0.980620146,0.973306,0.982254744
0.991836667,0.99118948,0.982178271,0.978699625,0.984725118,0.980620146,0.973306,0.982254744
0.991836667,0.99118948,0.984158456,0.979820669,0.984725118,0.980620146,0.973306,0.980167031
0.991836667,0.99118948,0.984158456,0.977578521,0.984725118,0.979651153,0.97227931,0.981210887
0.992857099,0.992070496,0.984158456,0.976457477,0.984725118,0.980620146,0.973306,0.98329854
0.992857099,0.992070496,0.983168364,0.976457477,0.984725118,0.980620146,0.973306,0.98329854
0.991836667,0.99118948,0.981188178,0.976457477,0.984725118,0.981589139,0.973306,0.982254744
0.991836667,0.99118948,0.981188178,0.978699625,0.984725118,0.981589139,0.97125262,0.982254744
0.991836667,0.99118948,0.982178271,0.976457477,0.984725118,0.980620146,0.97227931,0.982254744
0.992857099,0.99118948,0.983168364,0.976457477,0.984725118,0.979651153,0.97227931,0.984342396
0.992857099,0.99118948,0.982178271,0.976457477,0.984725118,0.979651153,0.973306,0.984342396
0.992857099,0.99118948,0.982178271,0.976457477,0.984725118,0.979651153,0.97227931,0.98329854
0.991836667,0.992070496,0.983168364,0.976457477,0.984725118,0.980620146,0.97227931,0.981210887
0.991836667,0.992070496,0.983168364,0.976457477,0.984725118,0.981589139,0.97227931,0.980167031
0.991836667,0.992070496,0.981188178,0.976457477,0.984725118,0.981589139,0.97227931,0.979123175
0.99387753,0.99118948,0.981188178,0.976457477,0.984725118,0.981589139,0.97227931,0.980167031
0.992857099,0.99118948,0.982178271,0.978699625,0.984725118,0.980620146,0.97227931,0.982254744
0.992857099,0.99118948,0.982178271,0.979820669,0.984725118,0.979651153,0.97227931,0.98329854
0.991836667,0.99118948,0.983168364,0.979820669,0.983706772,0.979651153,0.97227931,0.982254744
0.991836667,0.99118948,0.983168364,0.978699625,0.984725118,0.97868216,0.97227931,0.980167031
0.991836667,0.99118948,0.983168364,0.978699625,0.984725118,0.97868216,0.97227931,0.981210887
0.992857099,0.99118948,0.984158456,0.978699625,0.984725118,0.97868216,0.97227931,0.984342396
0.992857099,0.99118948,0.983168364,0.978699625,0.984725118,0.97868216,0.973306,0.98329854
0.992857099,0.99118948,0.982178271,0.978699625,0.984725118,0.97868216,0.973306,0.98329854
0.991836667,0.992070496,0.981188178,0.978699625,0.984725118,0.97868216,0.973306,0.979123175
0.991836667,0.992070496,0.981188178,0.978699625,0.984725118,0.979651153,0.973306,0.979123175
0.991836667,0.992070496,0.981188178,0.977578521,0.984725118,0.979651153,0.973306,0.980167031
0.991836667,0.99118948,0.982178271,0.978699625,0.983706772,0.979651153,0.973306,0.982254744
0.991836667,0.99118948,0.983168364,0.980941772,0.984725118,0.979651153,0.973306,0.98329854
0.991836667,0.99118948,0.983168364,0.979820669,0.984725118,0.97868216,0.973306,0.982254744
0.991836667,0.99118948,0.982178271,0.977578521,0.984725118,0.97868216,0.973306,0.982254744
0.991836667,0.992070496,0.981188178,0.977578521,0.984725118,0.980620146,0.973306,0.98329854
0.992857099,0.992070496,0.981188178,0.978699625,0.984725118,0.981589139,0.97227931,0.98329854
0.992857099,0.992070496,0.981188178,0.978699625,0.984725118,0.981589139,0.97227931,0.981210887
0.992857099,0.99118948,0.984158456,0.980941772,0.984725118,0.979651153,0.97227931,0.981210887
0.991836667,0.992070496,0.984158456,0.982062817,0.984725118,0.979651153,0.97227931,0.981210887
0.991836667,0.992070496,0.984158456,0.980941772,0.984725118,0.979651153,0.97227931,0.981210887
0.992857099,0.992070496,0.982178271,0.977578521,0.982688427,0.979651153,0.97227931,0.981210887
0.992857099,0.992070496,0.982178271,0.978699625,0.984725118,0.979651153,0.97227931,0.981210887
0.992857099,0.992070496,0.981188178,0.979820669,0.984725118,0.980620146,0.97433269,0.980167031
0.991836667,0.992070496,0.982178271,0.982062817,0.984725118,0.979651153,0.97433269,0.980167031
0.991836667,0.992070496,0.983168364,0.980941772,0.984725118,0.980620146,0.973306,0.981210887
0.991836667,0.992070496,0.983168364,0.980941772,0.983706772,0.979651153,0.97227931,0.982254744
0.992857099,0.99118948,0.983168364,0.977578521,0.984725118,0.979651153,0.97227931,0.98329854
0.992857099,0.99118948,0.983168364,0.978699625,0.984725118,0.979651153,0.97227931,0.984342396
0.992857099,0.99118948,0.983168364,0.979820669,0.984725118,0.979651153,0.973306,0.98329854
0.99387753,0.992070496,0.981188178,0.979820669,0.984725118,0.979651153,0.973306,0.981210887
0.994897902,0.992070496,0.980198026,0.979820669,0.984725118,0.980620146,0.973306,0.981210887
0.992857099,0.992070496,0.982178271,0.978699625,0.983706772,0.980620146,0.973306,0.982254744
0.990816295,0.992070496,0.982178271,0.977578521,0.983706772,0.980620146,0.973306,0.98329854
0.991836667,0.99118948,0.981188178,0.979820669,0.984725118,0.979651153,0.97433269,0.98329854
0.991836667,0.99118948,0.982178271,0.980941772,0.984725118,0.979651153,0.97535938,0.984342396
0.990816295,0.99118948,0.982178271,0.978699625,0.984725118,0.979651153,0.97535938,0.98329854
0.991836667,0.99118948,0.982178271,0.976457477,0.983706772,0.979651153,0.97535938,0.981210887
0.991836667,0.99118948,0.983168364,0.977578521,0.984725118,0.979651153,0.973306,0.981210887
0.991836667,0.992070496,0.983168364,0.980941772,0.984725118,0.979651153,0.973306,0.982254744
0.991836667,0.99118948,0.982178271,0.982062817,0.984725118,0.979651153,0.973306,0.98329854
0.991836667,0.992070496,0.982178271,0.982062817,0.984725118,0.980620146,0.973306,0.98329854
0.992857099,0.992070496,0.981188178,0.978699625,0.984725118,0.981589139,0.973306,0.982254744
0.99387753,0.99118948,0.981188178,0.976457477,0.984725118,0.981589139,0.973306,0.982254744
0.99387753,0.99118948,0.983168364,0.975336373,0.984725118,0.979651153,0.973306,0.982254744
0.99387753,0.99118948,0.983168364,0.974215269,0.984725118,0.979651153,0.97433269,0.984342396
0.992857099,0.99118948,0.984158456,0.977578521,0.984725118,0.979651153,0.97433269,0.98329854
0.992857099,0.99118948,0.984158456,0.980941772,0.984725118,0.980620146,0.97433269,0.98329854
0.992857099,0.992070496,0.985148549,0.982062817,0.984725118,0.979651153,0.973306,0.98329854
0.992857099,0.992070496,0.985148549,0.980941772,0.983706772,0.979651153,0.973306,0.980167031
0.992857099,0.992070496,0.984158456,0.980941772,0.984725118,0.979651153,0.97433269,0.980167031
0.992857099,0.992070496,0.983168364,0.980941772,0.984725118,0.980620146,0.973306,0.982254744
0.992857099,0.992070496,0.983168364,0.980941772,0.984725118,0.979651153,0.973306,0.982254744
0.992857099,0.992070496,0.984158456,0.979820669,0.983706772,0.979651153,0.97433269,0.982254744
0.992857099,0.99118948,0.984158456,0.978699625,0.984725118,0.979651153,0.97535938,0.98329854
0.99387753,0.992070496,0.985148549,0.979820669,0.984725118,0.979651153,0.97433269,0.981210887
0.994897902,0.992070496,0.983168364,0.979820669,0.984725118,0.979651153,0.97227931,0.982254744
0.994897902,0.992070496,0.981188178,0.979820669,0.983706772,0.980620146,0.97433269,0.982254744
0.994897902,0.992070496,0.984158456,0.977578521,0.984725118,0.979651153,0.97433269,0.982254744
0.99387753,0.992070496,0.985148549,0.978699625,0.984725118,0.979651153,0.97433269,0.982254744
0.992857099,0.992070496,0.985148549,0.977578521,0.984725118,0.979651153,0.97433269,0.982254744
0.992857099,0.992951572,0.984158456,0.978699625,0.983706772,0.979651153,0.97433269,0.982254744
0.994897902,0.992951572,0.983168364,0.978699625,0.983706772,0.979651153,0.97125262,0.98329854
0.992857099,0.992951572,0.982178271,0.978699625,0.984725118,0.979651153,0.96919924,0.98329854
0.991836667,0.992070496,0.983168364,0.977578521,0.984725118,0.979651153,0.97227931,0.98329854
0.990816295,0.992070496,0.985148549,0.982062817,0.983706772,0.979651153,0.973306,0.982254744
0.992857099,0.992070496,0.983168364,0.982062817,0.983706772,0.979651153,0.973306,0.982254744
0.992857099,0.992951572,0.982178271,0.980941772,0.983706772,0.979651153,0.973306,0.98329854
0.991836667,0.992951572,0.982178271,0.977578521,0.984725118,0.979651153,0.97433269,0.984342396
0.992857099,0.992070496,0.985148549,0.977578521,0.984725118,0.979651153,0.97535938,0.98329854
0.99387753,0.99118948,0.984158456,0.982062817,0.983706772,0.979651153,0.97227931,0.982254744
0.99387753,0.992951572,0.983168364,0.982062817,0.983706772,0.980620146,0.97227931,0.98329854
0.99387753,0.992951572,0.981188178,0.980941772,0.983706772,0.980620146,0.97433269,0.982254744
0.99387753,0.992951572,0.980198026,0.980941772,0.984725118,0.979651153,0.97433269,0.982254744
0.992857099,0.992070496,0.980198026,0.982062817,0.984725118,0.979651153,0.97535938,0.982254744
0.991836667,0.992951572,0.982178271,0.982062817,0.983706772,0.979651153,0.97433269,0.98329854
0.992857099,0.992070496,0.982178271,0.98318392,0.983706772,0.979651153,0.97227931,0.984342396
0.99387753,0.992070496,0.981188178,0.980941772,0.983706772,0.979651153,0.97433269,0.985386252
0.99387753,0.992070496,0.980198026,0.978699625,0.983706772,0.979651153,0.97638607,0.985386252
0.99387753,0.992070496,0.980198026,0.978699625,0.984725118,0.979651153,0.97638607,0.984342396
0.99387753,0.992951572,0.982178271,0.980941772,0.984725118,0.980620146,0.97227931,0.984342396
0.992857099,0.992951572,0.982178271,0.98318392,0.984725118,0.980620146,0.97227931,0.984342396
0.992857099,0.992951572,0.982178271,0.980941772,0.984725118,0.979651153,0.97433269,0.984342396
0.992857099,0.992070496,0.981188178,0.978699625,0.983706772,0.979651153,0.97535938,0.98329854
0.99387753,0.992951572,0.981188178,0.978699625,0.983706772,0.980620146,0.97433269,0.98329854
0.99387753,0.992951572,0.981188178,0.979820669,0.984725118,0.980620146,0.973306,0.98329854
